,title_id,title,text
0,tt0015324,Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.,A meek and mild projectionist, who also cleans up after screenings, would like nothing better than to be a private detective. He becomes engaged to a pretty girl but a ladies man known as the Sheik vies for her affection. He gets rid of the projectionist by stealing a pocket watch belonging to the girl's father - which he pawns to buy her an expensive box of candy. He then slips the pawn ticket into the projectionist's pocket and subsequently is found by the police. He doesn't have much luck but in his dreams, he the debonair and renowned detective Sherlock Jr. who faces danger and solves the crime. In real life, the girl solves crimes quickly.,A young man works as a projectionist at a movie theatre but dreams of becoming a famous detective. His studies toward this goal are put to the test when visiting his girlfriend. A rival steals his girlfriend's father's watch and frames him for the crime. He is forbidden from seeing her again. Now he must fight to clear his name.,A projectionist is studying to be a detective and is in love with a young lady. When he proposes her, his rival steals the chain watch of her father and incriminates him. The disappointed young projectionist returns to his job and while projecting the film, he dreams on being the detective of the story. Meanwhile, the girl finds the truth and acquits the guilty of the projectionist to her father."
1,tt0017925,The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.,Johnnie loves his train (""The General"") and Annabelle Lee. When the Civil War begins he is turned down for service because he's more valuable as an engineer. Annabelle thinks it's because he's a coward. Union spies capture The General with Annabelle on board. Johnnie must rescue both his loves.,Johnnie Gray is an engineer on his train, The General, on the Western and Atlantic railroad. When war is declared between North and South he does his best to sign up with the Confederate army but is refused because he's in a designated occupation. His sweetheart Annabelle and her family don't believe him and she's ashamed, thinking he's shirking his duty. Meanwhile the Union army hatches a plan to steal the General and when it stops in Big Shanty they snatch it and head north. Annabelle Lee is a passenger on the train and Johnnie goes behind enemy lines to rescue his train and his girl.,1862, Georgia, USA. The American Civil War is in its second year and Johnnie Gray is barred from enlisting. He is a train engineer and the Confederate Army feel he is more valuable to the Southern cause in his current role than in the army. This frustrates Johnnie and has estranged him from his sweetheart Annabelle, who views him as a coward. Then his beloved engine, The General, is stolen by Union spies and is heading for Union lines. Moreover, Annabelle is on board. Johnnie sets off after the two loves of his life.,Johnnie Gray has two loves in his life: his engine and his girl, Annabelle Lee. The War Between the States begins with an attack on Fort Sumter, and Johnnie is the first in line at the recruitment office. But the enlisting officer rejects him (not telling him the reason: he is more valuable to the South as an engineer). Annabelle believes he didn't even try to enlist, and she refuses to even speak to him until he is in uniform. Time passes and Union spies hatch a plot involving Johnnie's engine, The General. Not only do they steal The General while Johnnie and the passengers are off the train having dinner, but they kidnap Annabelle who was still on board. Johnnie pursues The General in another engine, The Texas. Through various mishaps he becomes the Unionists' sole pursuer. When the Unionists discover the train chasing them has only one man aboard, the long pursuit ends, and Johnnie barely escapes with his life. Johnnie is now behind enemy lines. He wanders the forest during a rainstorm then discovers a house, which he breaks into, grabbing what food he can. It turns out the Unionists who stole The General are using the house as a base of operations. While hiding under the dinner table, Johnnie learns the details of their next plot against the Confederates. More importantly, he discovers they have Annabelle Lee, whom he had never guessed was still on The General when it was taken. Johnnie manages to escape with Annabelle and take back The General. Now the Unionists are pursuing Johnnie, but if he and Annabelle can outrace them they can warn the Confederates of the Union's latest plan.,Union solders have stolen The General, a Confederate train manned by Johnnie Gray, who was unable to enlist in the Confederate army because he is needed as an engineer. The Union plans to use the train to supply its soldiers in a sneak attack against the Confederates. But now it's up to Gray and his love, Annabelle Lee, to reclaim The General, recross enemy lines, and warn the Confederates."
2,tt0025316,It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.,Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story.,In Miami, the spoiled socialite Ellie Andrews is trapped in the yacht of her controller father, the Wall Street banker Andrews, who has just annulled her secret marriage with the snobbish aviator King Westley. Out of the blue, Ellie jumps overboard and swims to the shore. Andrews hires a detective agency to find her and offers a 10,000 dollars reward for any information about his daughter. But Ellie pawns her watch, buys some clothing and a bus ticket to New York to meet her lover. She seats side-by-side with the cynical reporter Peter Warne. However, when a thief steals her purse with her money in a bus stop and Ellie does not report to the police, Peter recognizes and blackmails Ellie, asking her to travel together with him. He promises to protect her and in return he would write her adventure to meet King Westley. Along their journey, Ellie falls in love for Peter; but when he vanishes from the motel where they are lodged and contacts her father later, she believes he was only interested in the reward. In the end, love triumphs and the wall of Jericho falls.,Rich heiress Ellie Andrews has married against her father's wishes and manages to get away from him by jumping off the family yacht in Florida. While her father hires a detective agency to track her down, she tries to make her way to New York City. She starts out on a bus where she meets newly unemployed journalist Peter Warne. He's quickly onto her real identity and it's pretty obvious that she's a spoiled brat. She has no money and he decides to help her get to New York thinking he'll get a good story out of it. As they travel together however, they develop an appreciation and an understanding of one another. It soon turns to love.,Ellie Andrews is a spoiled heiress who has, against her father's will, eloped with fortune-hunting aviator ""King"" Westley. Jumping ship in Florida to reunite with her new spouse, her impromptu exit leads her to a bus traveling to New York City where she meets cheeky, charismatic news reporter Pete Warne. Warne, recognizing Ellie, agrees to help reunite the two lovers but with a special caveat: the heiress must give him an exclusive on her story. As the two travel northward together, they take part in a series of misadventures which gives rise to romantic feelings.,In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews impetuously marries the scheming King Westley, leading her tycoon father to spirit her away on his yacht. After jumping ship, Ellie falls in with cynical newspaper reporter Peter Warne, who offers to help her reunite with her new husband in exchange for an exclusive story. But during their travels, the reporter finds himself falling for the feisty young heiress.,Rebellious socialite Ellie Andrews marries King Wesley but her wealthy father has it annulled. Tired of her father's control, she runs away by diving off the family yacht in Miami and heading for New York. On the bus she meets street-smart reporter Peter Warne. They end up traveling together as Warne hopes to get a great story, and Ellie needs his worldly help. Nearing New York, with their many adventures coming to an end, they find that they are reluctantly in love and afraid to admit it to each other. After she mistakenly thinks that Warne has run out on her Ellie returns to King Wesley, but for how long?"
3,tt0027977,Modern Times,"The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Chaplin's last 'silent' film, filled with sound effects, was made when everyone else was making talkies. Charlie turns against modern society, the machine age, (The use of sound in films ?) and progress. Firstly we see him frantically trying to keep up with a production line, tightening bolts. He is selected for an experiment with an automatic feeding machine, but various mishaps leads his boss to believe he has gone mad, and Charlie is sent to a mental hospital - When he gets out, he is mistaken for a communist while waving a red flag, sent to jail, foils a jailbreak, and is let out again. We follow Charlie through many more escapades before the film is out.,The idea of the film was apparently given to Chaplin by a young reporter, who told him about the production line system in Detroit, which was turning its workers into nervous wrecks. In the film, Charlie becomes literally trapped in the machine and, in one of his finest patches of comic invention, is battered and buffeted by an automatic feeding machine introduced by his bosses to save time and money. Cured after his breakdown, he is arrested when he picks up a red flag that has fallen off the back of a lorry, and runs down the street to return it, exactly the same time as a left-wing demonstration comes round the corner. He meets 'The Gamine' in the back of the police van, who has also been arrested for stealing bread. From then on the theme is about two nondescripts trying to get along in modern times. ""Smile, though your heart is breaking ..."",A little tramp is finding it difficult to match his own sensibilities to the modern mechanized world. Failing as a worker on a factory assembly line, he gets into a series of adventures and misadventures, which leads to him meeting a young recently orphaned gamine who ran away rather than end up in an orphanage. They try to survive in the world together, both on the run from the law, although his previous stints behind bars were to him more comforting than life outside in the cold modern world. Beyond being wanted by the law, the question becomes whether they individually or together can find their proper place in the ever changing world which seems out to get them.,The story begins on the life of a factory working who is employed on the assembly line. His job sees him screwing nuts at an ever-increasing rate as part of the assembly line as well as being subjected to new, untested inventions like an 'automatic feeding machine'. This daily monotony pushes him over the edge and, after a lengthy stay in an asylum, is arrested for being mistakenly taken as an instigator at a communist rally. What follows is the factory worker meeting the love of his life, taking on several new jobs and trying to make what proves to be a difficult living."
4,tt0034583,Casablanca,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.,In World War II Casablanca, Rick Blaine, exiled American and former freedom fighter, runs the most popular nightspot in town. The cynical lone wolf Blaine comes into the possession of two valuable letters of transit. When Nazi Major Strasser arrives in Casablanca, the sycophantic police Captain Renault does what he can to please him, including detaining a Czechoslovak underground leader Victor Laszlo. Much to Rick's surprise, Lazslo arrives with Ilsa, Rick's one time love. Rick is very bitter towards Ilsa, who ran out on him in Paris, but when he learns she had good reason to, they plan to run off together again using the letters of transit. Well, that was their original plan....,During World War II, Europeans who were fleeing from the Germans, sought refuge in America. But to get there they would first have to go Casablanca and once they get there, they have to obtain exit visas which are not very easy to come by. Now the hottest spot in all of Casablanca is Rick's Cafe which is operated by Rick Blaine, an American expatriate, who for some reason can't return there, and he is also extremely cynical. Now it seems that two German couriers were killed and the documents they were carrying were taken. Now one of Rick's regulars, Ugarte entrusts to him some letters of transit, which he intends to sell but before he does he is arrested for killing the couriers. Captain Renault, the Chief of Police, who is neutral in his political views, informs Rick that Victor Laszlo, a resistance leader from Czechoslovakia, is in Casablanca and will do anything to get an exit visa but Renault has been ""told"" by Major Strasser of the Gestapo, to keep Laszlo in Casablanca. Laszlo goes to Rick's to meet Ugarte, because he was the one Ugarte was going to sell the letters to. But since Ugarte was arrested he has to find another way. Accompanying him is Ilsa Lund, who knew Rick when he was in Paris, and when they meet some of Rick's old wounds reopen. It is obvious that Rick's stone heart was because of her leaving him. And when they learn that Rick has the letters, he refuses to give them to him, because ""he doesn't stick his neck out for anyone"".,Rick Blaine, who owns a nightclub in Casablanca, Morocco, discovers his old flame Ilsa is in town with her husband, Victor Laszlo. Laszlo is a resistance leader from Czechoslovakia, and with Germans on his tail, Ilsa knows Rick can help them get out of the country - but will he?"
5,tt0036775,Double Indemnity,"An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train track, the police accept the determination of accidental death. However, the insurance analyst and Walter's best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man.,Walter Neff, the Pacific All Risk Insurance Company's top salesman, returns to his office late one evening, bleeding from a gunshot wound, and dictates a memo to colleague Barton Keyes. It all started the previous May, when he stopped at a client's home for a routine renewal inquiry and instead met the client's wife, Phyllis Dietrichson. She asked about buying accident insurance for her husband without his knowledge, and Neff understood that she intended to kill him. Neff and Phyllis were soon lovers, with Neff taking charge of the killing. Initially their plan went off without a hitch, but then Neff realized that he had been played and decided to do something about it.,Alone in his company's Los Angeles offices late one evening and under some distress, insurance salesman Walter Neff dictates an inter-office memo to his colleague, claims manager Barton Keyes, about killing one of his clients, a Mr. Dietrichson. Barton suspected that Dietrichson was murdered by his wife, Phyllis Dietrichson, who was claiming the double indemnity on her husband's accident insurance policy. Walter met Phyllis innocently enough - he was dropping off auto insurance renewal papers for her husband - but quickly fell under her seductive charms. They were obvious to each other in their mutual attraction. After deducing that she was planning on killing her husband since she stated he was abusive and claiming the insurance moneys on a policy her husband would have no idea existed, Walter decided to go into cahoots with her so that he could help her craft and execute the ""perfect"" insurance policy, and plan and execute the ""perfect"" murder beyond Keyes' scrutiny, leading to them living in bliss together and with money. Beyond any slip-up in the plan, Keyes and Dietrichson's disgruntled daughter, Phyllis' step-daughter Lola Dietrichson, factored into their ability to pull off the plan successfully. Walter concludes his memo for its reason, which he considers more a confession.,Walter Neff is an insurance salesman whose life is largely devoid of any excitement and thrill. All of that changes when he meets Phyllis Dietrichson, the callous wife of a man whom she plans to murder and cash out on his accidental death claim (""double indemnity""). When he is seduced by Dietrichson into murdering her husband, the two plot a murder scheme that will not go as planned. Suddenly, the motives of each become unclear and the plan becomes further complicated when Neff's boss begins to investigate the murder.,Smooth-talking insurance salesman Walter Neff meets attractive Phyllis Dietrichson when he calls to renew her husband's automobile policy. The couple are immediately drawn to each other and an affair begins. They cook up a scheme to murder Mr. Dietrichson for life insurance money with a double indemnity clause. Unfortunately, all does not go to plan..."
6,tt0040522,Bicycle Thieves,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.,Ricci, an unemployed man in the depressed post-WWII economy of Italy, gets at last a good job - for which he needs a bike - hanging up posters. But soon his bicycle is stolen. He and his son walk the streets of Rome, looking for the bicycle. Ricci finally manages to locate the thief but with no proof, he has to abandon his cause. But he and his son know perfectly well that without a bike, Ricci won't be able to keep his job.,The unemployment rate is high in postwar Italy. Antonio Ricci has been workless for two years, when he at last is offered a job as a poster. There is only one condition: he must have a bike of his own. At the moment his bicycle is at the pawn-shop, but Antonio's wife Maria says they can pawn their six sheets instead. The first day at work Antonio's bicycle is stolen. A friend offers to help him search for it the next morning at Piazza Vittorio, where the street vendors sell stolen bikes. The search is unsuccessful, but Antonio and his little son Bruno don't give up. They continue to the market at Porta Portese, where Antonio happens to see the thief talking to an elderly man. As he cannot catch the thief, he instead pursues the old man, who goes into a church, where he disappears during the mass. The third time Antonio happens to see the thief, he succeeds to pursue him to his dwelling-place. A local policeman believes Antonio's story about the theft, but as he cannot find the stolen bike in the apartment, the case is dismissed. Driven into utterly despair Antonio and Bruno walk back home - back to unemployment.,During the hard years of poverty in post-World-War-II Rome, Antonio, a poor working-class man of a wife and a little son, is finally offered a modest job as a bill-poster with his own bicycle; a bicycle like the one Antonio was already forced to pawn. As a result, his wife, Maria, pawns the family's bed linen to redeem their bicycle, unfortunately, however, on Antonio's first day of work, the prized possession is stolen. Desperate, the ill-fated father and his boy, Bruno, will scour Rome's bustling streets on a gloomy Sunday to find the vital bicycle, but undoubtedly, this is an impossible task. Will Antonio ever get his job back?,Antonio Ricci is only one of several men who regularly stand outside his local municipal employment office in Rome every morning hoping that there is work available, it doled out on a qualification basis. This morning, he is told there is a job for him starting tomorrow hanging posters around the city. In getting the job, he tells a white lie in that he has a bicycle, a bicycle which is a requirement for the work. In actuality, he pawned his bicycle to put food on the table for himself, his wife Maria, and their two young children. At some sacrifice, he and Maria sell some of their possessions so that Antonio can get his bicycle out of hawk. They believe it is worth it as the return in employment salary and overtime far exceeds the initial capital outlay in getting the bicycle back. On Antonio's first working day, his bicycle is stolen as he is on his ladder hanging a poster. With little help from the police who tell him all they can do is keep the bicycle's serial number on file in case it does show up, Antonio, with his friends and his older son, adolescent Bruno, by his side, go on what seems like a futile mission to locate the bicycle, which could now be anywhere in Rome. But as Antonio views the bicycle as his and his family's means of survival, he will grasp at any straw to locate the bicycle and/or the thief, who he did see, and perhaps take desperate measures in these desperate times."
7,tt0043014,Sunset Blvd.,"A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,In Hollywood of the 50's, the obscure screenplay writer Joe Gillis is not able to sell his work to the studios, is full of debts and is thinking in returning to his hometown to work in an office. While trying to escape from his creditors, he has a flat tire and parks his car in a decadent mansion in Sunset Boulevard. He meets the owner and former silent-movie star Norma Desmond, who lives alone with her butler and driver Max Von Mayerling. Norma is demented and believes she will return to the cinema industry, and is protected and isolated from the world by Max, who was her director and husband in the past and still loves her. Norma proposes Joe to move to the mansion and help her in writing a screenplay for her comeback to the cinema, and the small-time writer becomes her lover and gigolo. When Joe falls in love for the young aspirant writer Betty Schaefer, Norma becomes jealous and completely insane and her madness leads to a tragic end.,Desperate for cash, screenwriter Joe Gillis has a chance meeting with a faded silent film star. Norma Desmond lives in her crumbling Sunset Boulevard mansion with only her butler to keep her company. She has become a sad demented recluse convinced that the outside world is clamoring for her dramatic return. Enticing him with the prospect of script work she puts him up in her mansion and he becomes ever more involved and entangled in her life.,Joe Gillis is a struggling hack B-movie Hollywood screenwriter who is having problems making ends meet, his car, a symbol to him of independence, which is threatened to be repossessed due to he being behind in payments. In eluding the repossessors, Joe stumbles onto the decaying Sunset Boulevard mansion of fifty year old faded silent movie star Norma Desmond, who has largely been forgotten by the movie going public. The only other person besides Norma living at the mansion is Norma's valet, Max, whose unofficial job is to prime Norma's fragile but larger than life ego. It is somewhat due to Max's lies about the public still clamoring for her that a delusional Norma is working toward her return to pictures in what is a vanity project. Even if her script was any good, the lead role should be filled by someone half Norma's age. Joe senses an opportunity to act as Norma's ghost writer, he only wanting to make a quick buck to pay off his creditors, not caring if the movie gets produced. In maneuvering to do the ghost writing work, Joe may be unprepared for what else Norma has in store for him in her need to be loved and wanted. As Joe gets seduced by the comfort that Norma's wealth can afford, it may be too late for him when he finally comes to the realization about what he really wants and how much he has to forgo in stoking Norma's ego.,In this dark film-noir tale, aging silent film queen, Norma Desmond, refuses to accept that her time in the limelight has finished - she lives as a recluse with the deranged beliefs that her stardom is as strong as ever. After meeting Joe Gillis, a young, hack screenwriter, she hires him to write a screenplay starring her as an effort to set up her comeback in film. The screenwriter believes he can manipulate her, but soon learns the difficulty of such a task. Furthermore, his ambivalence about their relationship, coupled with Norma's demented unwillingness to let go, leads to some damaging consequences for both parties involved.,An aging silent film queen refuses to accept that her stardom has ended. She hires a young screenwriter to help set up her movie comeback. The screenwriter believes he can manipulate her, but he soon finds out he is wrong. The screenwriters ambivalence about their relationship and her unwillingness to let go leads to a situation of violence, madness, and death."
8,tt0046438,Tokyo Story,"An old couple visit their children and grandchildren in the city, but receive little attention.,Elderly couple Shukishi and Tomi Hirayama live in the small coastal village of Onomichi, Japan with their youngest daughter, schoolteacher Kyoko Hirayama. Their other three surviving adult children, who they have not seen in quite some time, live either in Tokyo or Osaka. As such, Shukishi and Tomi make the unilateral decision to have an extended visit in Tokyo with their children, pediatrician Koichi Hirayama and beautician Shige Kaneko, and their respective families (which includes two grandchildren). In transit, they make an unexpected stop in Osaka and stay with their other son, Keiso Hirayama. All of their children treat the visit more as an obligation than a want, each trying to figure out what to do with their parents while they continue on with their own daily lives. At one point, they even decide to ship their parents off to an inexpensive resort at Atami Hot Springs rather than spend time with them. The only offspring who makes a concerted effort on this trip is Noriko Hirayama, their widowed daughter-in-law, whose husband, Shoji Hirayama, was killed eight years earlier in the war. Following the vacation, each child comes to some conclusion of their general behavior toward their parents, not only on this trip but throughout their entire adult lives. For some, this realization may come too late.,In Onomichi, Hiroshima, the retired Shukishi Hirayama and his wife Tomi Hirayama live with their single daughter, the teacher Kyôko. They decide to travel in a long voyage by train to Tokyo to visit their children, the doctor Koichi Hirayama and the hairdresser Shige Kaneko. However, the indifferent and selfish Koichi and Shige can not afford time to spend with their parents but the widow sister-in-law Noriko Hirayama gives attention to them and goes on sightseeing through Tokyo with the old couple. Shukishi and Tomi note that their children do not have time for them and they decide to return to Onomichi. Along their trip, Tomi does not feel well and they stop in Osaka to visit their son Keizo Hirayama. Soon each son and daughter receives a telegram from Onomichi with sad news.,An elderly couple, Shukishi and Tomi, travel from Hiroshima to Tokyo to visit their children. The trip is arduous for the humble, elderly couple who are keen to see their children again. Their son, Koichi, is a doctor and is often away from home. Their daughter Shige finds their visit to be a costly imposition on her time. The only person who seems to care about them is their widowed daughter-in-law Noriko. Their stay in Tokyo proves to be a sad one as they soon come to realize they are not particularly welcome and that their children see the visit more as a nuisance than anything else. As Tomi begins to feel unwell, they decide to return home but must face a tragic end.,An elderly couple head to Tokyo to spend a few days with their children and grandchildren. While their children are initially glad to see them, and the parents are models of patience and pleasantness, the novelty wears off pretty quickly for the children and they soon view the parents as a hindrance more than anything else. Then an event highlights the divide between the two generations.,The ageing couple of Shukishi, and his wife, Tomi, leave their small rural village of Onomichi to visit their married children and grandchildren in bustling post-war Tokyo. However, their offspring's reaction is far from what they expected: the reception of their elder son, the always busy, Dr Koichi, is utterly disappointing. Now, against the backdrop of unconscious but majestic indifference and silently culpable neglect, love turns into guilt; hope transforms into failure, and dreams suffocate in an abysmal generation gap. Can a simple trip to Tokyo expose the essence of loneliness and the frail existence of man?"
9,tt0047296,On the Waterfront,"An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.,A longshoreman and ex boxer named Terry Malloy witnesses a murder perpetrated by his corrupt union. When a beautiful young woman comes into the picture that just so happens to be the murdered man's sister, Terry feels obligated to stand up to his bosses as a result of his recent relations with her.,Terry Malloy is an ex prize-fighter who works on the docks doing errands for corrupt union boss ""Friendly Johnny"". After witnessing the murder of one of the dock men, he takes a second look into the men he is working for. He feels guilty about the death of the young man after falling for his sister and meeting ""Father Barry"" in his campaign to take down the evil longshoremen union bosses in the courts.,Dockworker Terry Malloy had been an up-and-coming boxer until powerful local mob boss Johnny Friendly persuaded him to throw a fight. When a longshoreman is murdered before he can testify about Friendly's control of the Hoboken waterfront, Terry teams up with the dead man's sister Edie and the streetwise priest Father Barry to testify himself, against the advice of Friendly's lawyer, Terry's older brother Charley.,The Waterfront Crime Commission is about to hold public hearings on union crime and underworld infiltration. As workers are turned against each other, Terry Malloy inadvertently participates in the murder of fellow longshoreman Joey Doyle. Union boss Johnny Friendly orchestrates the murder along with other illegal dockside activities, aided by Terry's brother Charley. Terry begins to feel pangs of conscience. When Joey's sister Edie sees more in Terry than he sees in himself and Father Barry urges him on, Terry reassesses his past and begins to regain responsibility for his actions."
